model_id,model_family,file_size_bytes,sampler,sample_count,parameter_count,param_name_count,log_likelihood_min,log_likelihood_max,log_likelihood_mean,logZ,logZ_error,matching_time_delay_file_present,lens_model_count,source_light_model_count,lens_light_model_count,point_source_image_positions_present,first_lens_model,lens_model_list,first_12_param_names
0408_run1001_0_0_0_0_0_1_1_0,powerlaw,49241340,DYPOLYCHORD,10000,57,57,-24988.6233709426,-24939.5329236018,-24958.669929566415,-25087.1684558,0.998143686238,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|SIS|SIS|SIS|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|theta_E_lens4|theta_E_lens5|theta_E_lens6|theta_E_lens7|R_sersic_source_light0|n_sersic_source_light0|e1_source_light0
0408_run1006_0_1_1_0_0_1_1_0,powerlaw,44652514,DYPOLYCHORD,10000,57,57,-25335.5830349562,-25298.4626447804,-25311.574009453423,-25420.6224642,0.947301573991,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|SIS|SIS|SIS|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|theta_E_lens4|theta_E_lens5|theta_E_lens6|theta_E_lens7|R_sersic_source_light0|n_sersic_source_light0|e1_source_light0
0408_run1013_1_0_0_0_0_1_1_0,composite,54214465,DYPOLYCHORD,10000,59,59,-25032.8617120226,-24983.5780898845,-24999.446330431492,-25146.6472169,1.21661369708,True,9,15,6,True,NFW_ELLIPSE,NFW_ELLIPSE|SHEAR_GAMMA_PSI|DOUBLE_CHAMELEON|SIS|SIS|SIS|SIS|SIS|SIS,Rs_lens0|gamma_ext_lens1|psi_ext_lens1|alpha_1_lens2|theta_E_lens3|theta_E_lens4|theta_E_lens5|theta_E_lens6|theta_E_lens7|theta_E_lens8|R_sersic_source_light0|n_sersic_source_light0
0408_run1014_1_0_1_0_0_1_1_0,composite,49593127,DYPOLYCHORD,10000,59,59,-25020.5838700504,-24972.5324688118,-24991.242660021526,-25120.7550762,1.10599000853,True,9,15,6,True,NFW_ELLIPSE,NFW_ELLIPSE|SHEAR_GAMMA_PSI|DOUBLE_CHAMELEON|SIS|SIS|SIS|SIS|SIS|SIS,Rs_lens0|gamma_ext_lens1|psi_ext_lens1|alpha_1_lens2|theta_E_lens3|theta_E_lens4|theta_E_lens5|theta_E_lens6|theta_E_lens7|theta_E_lens8|R_sersic_source_light0|n_sersic_source_light0
0408_run902_0_0_1_0_0_1_1_0,powerlaw,47254285,DYPOLYCHORD,10000,57,57,-25132.9388806488,-25093.0086050599,-25103.865216192757,-25231.7743215,0.922840032753,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|SIS|SIS|SIS|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|theta_E_lens4|theta_E_lens5|theta_E_lens6|theta_E_lens7|R_sersic_source_light0|n_sersic_source_light0|e1_source_light0
0408_run903_0_0_0_1_0_1_1_0,powerlaw,64426629,DYPOLYCHORD,10000,60,60,-25466.3664742837,-25416.7714522341,-25434.561313783426,-25577.6646348,1.19454619779,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|NFW_MC|NFW_MC|NFW_MC|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|logM_lens4|concentration_lens4|logM_lens5|concentration_lens5|logM_lens6|concentration_lens6|theta_E_lens7
0408_run904_0_0_1_1_0_1_1_0,powerlaw,65212286,DYPOLYCHORD,10000,60,60,-26370.0899282796,-26303.049341365,-26331.70319130447,-26469.2974254,1.01083536911,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|NFW_MC|NFW_MC|NFW_MC|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|logM_lens4|concentration_lens4|logM_lens5|concentration_lens5|logM_lens6|concentration_lens6|theta_E_lens7
0408_run905_0_1_0_0_0_1_1_0,powerlaw,66369691,DYPOLYCHORD,10000,57,57,-25127.1989285693,-25086.7248820876,-25100.8907874586,-25317.2328131,1.53823169589,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|SIS|SIS|SIS|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|theta_E_lens4|theta_E_lens5|theta_E_lens6|theta_E_lens7|R_sersic_source_light0|n_sersic_source_light0|e1_source_light0
0408_run907_0_1_0_1_0_1_1_0,powerlaw,71487103,DYPOLYCHORD,10000,60,60,-26414.2564602075,-26370.6013255522,-26383.890226000673,-26551.4985315,1.12195964715,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|NFW_MC|NFW_MC|NFW_MC|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|logM_lens4|concentration_lens4|logM_lens5|concentration_lens5|logM_lens6|concentration_lens6|theta_E_lens7
0408_run908_0_1_1_1_0_1_1_0,powerlaw,74996333,DYPOLYCHORD,10000,60,60,-25464.5027799645,-25423.7805088269,-25437.44885682146,-25624.1795442,1.24956401642,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|NFW_MC|NFW_MC|NFW_MC|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|logM_lens4|concentration_lens4|logM_lens5|concentration_lens5|logM_lens6|concentration_lens6|theta_E_lens7
0408_run909_0_2_0_0_0_1_1_0,powerlaw,50832080,DYPOLYCHORD,10000,57,57,-25103.9745301431,-25065.6947601949,-25078.04926052687,-25215.4534651,1.19339399969,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|SIS|SIS|SIS|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|theta_E_lens4|theta_E_lens5|theta_E_lens6|theta_E_lens7|R_sersic_source_light0|n_sersic_source_light0|e1_source_light0
0408_run910_0_2_1_0_0_1_1_0,powerlaw,45089067,DYPOLYCHORD,10000,57,57,-25361.21793893,-25324.3830268906,-25336.88110756903,-25449.6951442,1.05856299546,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|SIS|SIS|SIS|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|theta_E_lens4|theta_E_lens5|theta_E_lens6|theta_E_lens7|R_sersic_source_light0|n_sersic_source_light0|e1_source_light0
0408_run911_0_2_0_1_0_1_1_0,powerlaw,61982867,DYPOLYCHORD,10000,60,60,-26331.4922343364,-26289.1391778548,-26305.26283646696,-26432.4483025,1.13259533265,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|NFW_MC|NFW_MC|NFW_MC|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|logM_lens4|concentration_lens4|logM_lens5|concentration_lens5|logM_lens6|concentration_lens6|theta_E_lens7
0408_run912_0_2_1_1_0_1_1_0,powerlaw,64430315,DYPOLYCHORD,10000,60,60,-25541.1855548267,-25500.8218031586,-25515.965394478164,-25656.1403792,0.96435978225,True,8,15,7,True,SPEMD,SPEMD|SHEAR_GAMMA_PSI|SIS|SIS|NFW_MC|NFW_MC|NFW_MC|SIS,gamma_lens0|gamma_ext_lens1|psi_ext_lens1|theta_E_lens2|theta_E_lens3|logM_lens4|concentration_lens4|logM_lens5|concentration_lens5|logM_lens6|concentration_lens6|theta_E_lens7
0408_run915_1_0_0_1_0_1_1_0,composite,69255012,DYPOLYCHORD,10000,62,62,-26414.1906201123,-26361.2044529413,-26376.461344648887,-26540.6784679,1.06299832945,True,9,15,6,True,NFW_ELLIPSE,NFW_ELLIPSE|SHEAR_GAMMA_PSI|DOUBLE_CHAMELEON|SIS|SIS|NFW_MC|NFW_MC|NFW_MC|SIS,Rs_lens0|gamma_ext_lens1|psi_ext_lens1|alpha_1_lens2|theta_E_lens3|theta_E_lens4|logM_lens5|concentration_lens5|logM_lens6|concentration_lens6|logM_lens7|concentration_lens7
